Métier,Entreprise,Poste,Niveau,Lieu,Salaire,Expérience,Compétences,Description
Data Engineer,Non spécifié,Data-Driven Software Engineer - Java F/H (H/F),Junior,95 - Mareil-en-France,Non spécifié,Débutant accepté,"python, aws, java, kubernetes, agile, r, terraform, docker, git, ia, sql, ci/cd","Nous recherchons un·e Data-Driven Software Engineer pour rejoindre notre département Technologie Numérique, en charge de développer une Virtual Power Plant (VPP).Une VPP permet d'opérer et de valoriser la production d'énergie de nos clients, producteurs d'énergie renouvelable, sur les marchés de l'énergie électrique, en intégrant des problématiques telles que la prévision de production, l'optimisation des actifs, la collecte et la consolidation des volumes d'énergie produits...Le poste est à pou"
Data Engineer,Non spécifié,Data Analyst/Engineer - H/F,Non spécifié,09 - Port,Non spécifié,Débutant accepté,"etl, r","Sous la responsabilité du Responsable Données et Innovation, vous jouez un rôle central dans l'optimisation de la gestion de vos données et la mise en place de solutions Business Intelligence (BI) pour accompagner la prise de décision stratégique. Vous serez en charge de la qualité des données et de la gestion des KPI pour stimuler la performance. A ce titre vos missions seront : Assurer la supervision des flux ETL et des bases de données DWH, en garantissant leur disponibilité et leur performan"
Data Engineer,Non spécifié,Data Engineer - Services Financiers - Nantes (H/F),Stage,44 - Nantes,Non spécifié,Débutant accepté,"databricks, ci/cd, python, power bi, qlik, go, java, big data, ia, scala, git, hadoop, kafka, spark, r, hive, azure","La division « Services Financiers » de Sopra Steria se concentre sur la banque de détail, la banque privée et les services financiers spécialisés. Nous participons à la révolution digitale grâce à notre expertise en automatisation des processus, Big Data, IA et Cloud. Nous accompagnons la transformation de nos clients dans les domaines des Crédits, Risques/Conformité et Moyens de Paiement.Composée d'environ 100 Data Ingénieurs, vous y rencontrerez des experts en Plateforme de Données, Data Archi"
Data Engineer,Non spécifié,Data Engineer DataIku - Services Financiers - Ile-de-France (H/F),Senior,75 - Paris,Non spécifié,Débutant accepté,"ci/cd, python, aws, big data, r, ia, git, gcp, spark, gitlab, sql, hive, azure","La division « Services Financiers » de Sopra Steria se concentre sur la banque de détail, la banque privée et les services financiers spécialisés. Nous participons à la révolution digitale grâce à notre expertise en automatisation des processus, Big Data, IA et Cloud. Nous accompagnons la transformation de nos clients dans les domaines des Crédits, Risques/Conformité et Moyens de Paiement.Composée d'environ 100 Data Ingénieurs, vous y rencontrerez des experts en Plateforme de Données, Data Archi"
Data Engineer,Non spécifié,Data Engineer PySpark - Data Factory - Services Financiers - Ile de France (H/F),Senior,75 - Paris,Non spécifié,Débutant accepté,"ia, go, r, ci/cd","Notre Data FactoryVous êtes passionné(e) par la valorisation de la donnée, rejoignez notre Data Factory localisée à Paris ! Vous y rencontrerez des experts de la mise en œuvre de Plateformes de Données, des Data Architectes ou autres experts solution autour des problématiques de valorisation de la donnée.Vous êtes accompagné(e) au développement de vos connaissances au travers de différents parcours Data que ce soit pour l'ingestion, la construction de datahub, la transformation et valorisation d"
Data Engineer,Michael Page,Data Engineer H/F,Senior,France,Annuel de 60000.0 Euros à 63000.0 Euros,1 An(s),"rest, api, python, power bi, ia, git, pipeline, r, ci/cd","Pour ce poste de Data Engineer / Leader Technique Data évolutif rapidement vers un poste d'Architecte Data, vos missions principales seront les suivantes :   * Concevoir et implémenter l'architecture data, en cohérence avec les standards IT Corporate,  * Définir et superviser l'intégration des données issues de sources variées, en garantissant leur qualité et leur sécurité,  * Orchestrer, configurer et optimiser les traitements data (performance, robustesse, fiabilité),  * Mettre en place les ou"
Data Engineer,AKKODIS FRANCE SAS,"Data Engineer F/H - Système, réseaux, données (H/F)",Senior,79 - Niort,Non spécifié,10 An(s),"machine learning, tableau, python, go, aws, pipeline, nosql, etl, r, scala, hadoop, ia, gcp, spark, sql, azure","Descriptif du poste:   La ligne de service Consulting & Solutions d'Akkodis France renforce ses équipes en région et recrute un Data Engineer H/F en CDI à Niort.  Vos missions :    * Concevoir, construire et maintenir des pipelines de données robustes et évolutifs, intégrant des sources variées * Accompagner la transformation des outils de l'équipe sur les axes DataIku, Tableau et Starburst * Réaliser des études de solutions pour proposer des architectures techniques adaptées aux besoins métiers"
Data Engineer,AKKODIS FRANCE SAS,"Data Engineer Snowflake F/H - Système, réseaux, données (H/F)",Senior,33 - Bordeaux,Non spécifié,3 An(s),"jenkins, ci/cd, go, aws, github, jira, agile, etl, r, ia, git, gcp, snowflake, pipeline, sql, azure","Descriptif du poste:   La ligne de service Consulting & Solutions d'Akkodis France renforce ses équipes en région Nouvelle Aquitaine et recrute un Data Engineer Snowflake H/F en CDI.  Ce poste vous offre l'opportunité de rejoindre une équipe dynamique dédiée à la conception et au développement de pipelines de données complexes sur la plateforme Snowflake, au sein d'un environnement digital innovant et exigeant.  Vos missions :   * Concevoir, développer et maintenir des pipelines de données sur S"
Data Engineer,CGI,Data Engineer H/F,Stage,63 - Clermont-Ferrand,Non spécifié,Expérience exigée,"databricks, ci/cd, tableau, python, postgresql, power bi, go, big data, azure, etl, r, ia, mysql, gcp, snowflake, sql, oracle","POSTE : Data Engineer H/F DESCRIPTION : Data Engineer F/H       Description de poste    Big Data, Data Science, Data analyse, Data architecture,  Ça n'a pas de secret pour vous ?   Que vous commenciez votre carrière professionnelle ou que vous soyez spécialiste de l'une de ces disciplines, intégrer notre communauté Data, c'est l'assurance de progresser, innover, partager, vous certifier et rendre service à nos clients.      Si vous souhaitez intégrer nos équipes à Clermont-Ferrand et accompagner"
Data Analyst,EXPECTRA,Data analyst (F/H),Non spécifié,31 - Blagnac,Annuel de 38000.0 Euros sur 12.0 mois,5 An(s),"go, r, ia","Vous rejoignez le département 1YYS du client, département responsable du développement de produits de simulation pour les simulateurs avion, tant pour l'ingénierie que pour la formation des pilotes. L'application des règles d'Export Control est complexe en raison de la nature composite des produits de simulation, qui intègrent des données de tous les ATA nécessaires au développement des simulateurs.  Vous travaillez en relation avec le responsable du classement des données. Vos missions sont les"
Data Analyst,MANPOWER,Data analyst (H/F),Non spécifié,76 - Cléon,Non spécifié,3 An(s),"rest, machine learning, tableau, Python, SQL, GCP Notebooks et Looker, ia, r","Manpower Automobile, agence située à Elbeuf, recherche pour le compte de son client, un Data Analyst - H/F à CLEON (76410) afin d'exploiter, analyser et interpréter les données dans un environnement industriel.  AMPERE CLEON SAS est une entreprise spécialisée dans la fabrication de moteurs et boîtes de vitesses. Enracinée dans une longue tradition dans l'industrie, elle développe des solutions innovantes et performantes pour répondre aux défis du secteur.    Dans un contexte stimulant, vous sere"
Data Analyst,MANPOWER FRANCE,Data analyst (H/F),Non spécifié,40 - Tarnos,Non spécifié,Débutant accepté,"excel, python, power bi, ia, r","Manpower ANGLET recherche pour son client, un acteur du secteur de l'aéronautique, un Data analyst mthodes supply chain (H/F) Au sein du service Méthodes Supply chain de Safran Helicoptere Engines, vos missions seront de :  - Maintenir et mettre à jour des outils opérationnels et de pilotage  - Consolider le reporting hebdomadaire du service  - Participer à des actions de plan de progrès du service en industrialisant des KPI existants ou en créant des KPI ou reporting répondant à des besoins nou"
